"","gravity.revised.name","gravity.short.name","gravity.full.name"
"86","field86","G.5..Clinic.threshold","G.5..Clinic.threshold"
"87","field87","G.5..Automated.office.threshold","G.5..Automated.office.threshold"
"88","field88","G.5..Clinic.threshold..duplicate....igno","G.5..Clinic.threshold..duplicate....ignore."
"89","field89","G.5..Automated.office.threshold..duplica","G.5..Automated.office.threshold..duplicate....ignore."
"90","field90","G.6..ABPM.vs.automated.office","G.6..ABPM.vs.automated.office"
"91","field91","G.6..ABPM.threshold","G.6..ABPM.threshold"
"92","field92","G.6..Automated.office.threshold","G.6..Automated.office.threshold"
"93","field93","G.6..ABPM.threshold..duplicate....ignore","G.6..ABPM.threshold..duplicate....ignore."
"94","field94","G.6..Automated.office.threshold..duplica","G.6..Automated.office.threshold..duplicate....ignore."
"95","field95","G.7..ABPM.vs.home.1","G.7..ABPM.vs.home.1"
"96","field96","G.7.ABPM.threshold.1","G.7.ABPM.threshold.1"
"97","field97","G.7.Home.threshold.1","G.7.Home.threshold.1"
"98","field98","G.7..ABPM.threshold..duplicate....ignore","G.7..ABPM.threshold..duplicate....ignore."
"99","field99","G.7..Home.threshold..duplicate....ignore","G.7..Home.threshold..duplicate....ignore."
"100","field100","Additional.comments","Additional.comments"
"101","field101","Created.By..User.Id.","Created.By..User.Id."
"102","field102","Entry.Id","Entry.Id"
"103","field103","Entry.Date","Entry.Date"
"104","field104","Source.Url","Source.Url"
"105","field105","Transaction.Id","Transaction.Id"
"106","field106","Payment.Amount","Payment.Amount"
"107","field107","Payment.Date","Payment.Date"
"108","field108","Payment.Status","Payment.Status"
"109","field109","Post.Id","Post.Id"
"110","field110","User.Agent","User.Agent"
"111","field111","User.IP","User.IP"
